"Guid","Name","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__Template__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
002d05da-2caf-44d7-a2ac-744813661c1a,Description,Left,3.0,"#N/A","#N/A",2.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,35.0
13cc0300-df06-441c-9ffa-c1eb43ee793e,DESCRIPTION,Left,3.0,"#N/A","#N/A",30.0,false,SBQQ__Description__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,50.0
248d1b94-dd1f-47e5-b673-ce2547422c98,Product,Left,3.0,"#N/A","#N/A",1.0,false,SBQQ__ProductName__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,20.0
27d9b525-e391-4ffa-97bb-2f24bf569056,List Price,Left,3.0,"#N/A","#N/A",3.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,10.0
4c863ea8-d6ba-4d78-99a3-8535364d2a32,Net Total,Left,3.0,"#N/A","#N/A",6.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,15.0
6c7515e1-b29d-4bcb-aa23-10a34a849899,Quantity,Left,3.0,"#N/A","#N/A",5.0,false,SBQQ__Quantitty__C,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,10.0
8c770847-6da0-4832-910c-dab7edcd44c6,QTY,Left,3.0,"#N/A","#N/A",10.0,false,SBQQ__Quantity__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,5.0
9f78761c-7651-4f50-b1ec-af24e3e6026f,PART #,Left,3.0,"#N/A","#N/A",20.0,false,SBQQ__ProductCode__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,10.0
d4a09897-a63b-43f9-8675-2400f692db38,DISC (%),Right,3.0,"#N/A","#N/A",50.0,false,SBQQ__Discount__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,10.0
dceb1604-4663-4e32-a005-a2b28206d1e1,EXTENDED,Right,3.0,"#N/A","#N/A",60.0,false,SBQQ__NetTotal__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,15.0
e03a76f5-237f-4710-ae4f-818ef4cbe800,UNIT PRICE,Right,3.0,"#N/A","#N/A",40.0,false,SBQQ__ListPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,10.0
f1b741c6-f612-4530-8959-5bdba55264de,Net Price,Left,3.0,"#N/A","#N/A",4.0,false,SBQ__NetPrice__c,"#N/A","#N/A",Normal,"#N/A",false,3.0,3.0,false,"#N/A",false,"#N/A","#N/A","#N/A","#N/A",All,"#N/A","#N/A",102c8f27-2ede-4b83-a202-cf15f22cc0f8,"#N/A",3.0,false,10.0
